unix_sec,unix_ms,rel_sec,rel_ms,Delta_TP9,Delta_TP10,Delta_AF7,Delta_AF8,Theta_TP9,Theta_TP10,Theta_AF7,Theta_AF8,Alpha_TP9,Alpha_TP10,Alpha_AF7,Alpha_AF8,Beta_TP9,Beta_TP10,Beta_AF7,Beta_AF8,Gamma_TP9,Gamma_TP10,Gamma_AF7,Gamma_AF8
1758146975.948,1758146975948,15.250999927520752,15251,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.949,1758146975949,15.251999855041504,15252,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.949,1758146975949,15.251999855041504,15252,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.949,1758146975949,15.251999855041504,15252,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.949,1758146975949,15.251999855041504,15252,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.95,1758146975950,15.253000020980835,15253,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.95,1758146975950,15.253000020980835,15253,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.951,1758146975951,15.253999948501587,15254,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.951,1758146975951,15.253999948501587,15254,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.951,1758146975951,15.253999948501587,15254,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
